index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
560,19056,164,0.002336848104873,0.790438871473354,2.37131661442006,0.002978071200235,0.021729883139487,6.90195413793104E-05,0.000149211849259,Medium Risk
98,19089,165,0.002351097178683,0.795258620689655,2.38577586206897,0.002996230170968,0.021862382426922,6.94403922413793E-05,0.000150121677608,Medium Risk
2086,18947,165,0.002351097178683,0.795258620689655,2.38577586206897,0.002996230170968,0.021862382426922,6.94403922413793E-05,0.000150121677608,Medium Risk
112,19088,166,0.002365346252494,0.800078369905956,2.40023510971787,0.003014389141701,0.021994881714358,6.98612431034483E-05,0.000151031505957,Medium Risk
126,19087,166,0.002365346252494,0.800078369905956,2.40023510971787,0.003014389141701,0.021994881714358,6.98612431034483E-05,0.000151031505957,Medium Risk
574,19055,168,0.002393844400114,0.809717868338558,2.42915360501567,0.003050707083168,0.02225988028923,7.07029448275862E-05,0.000152851162655,Medium Risk
2072,18948,168,0.002393844400114,0.809717868338558,2.42915360501567,0.003050707083168,0.02225988028923,7.07029448275862E-05,0.000152851162655,Medium Risk
6902,18603,168,0.002393844400114,0.809717868338558,2.42915360501567,0.003050707083168,0.02225988028923,7.07029448275862E-05,0.000152851162655,Medium Risk
140,19086,170,0.002422342547734,0.81935736677116,2.45807210031348,0.003087025024634,0.022524878864102,7.15446465517241E-05,0.000154670819353,Medium Risk
154,19085,170,0.002422342547734,0.81935736677116,2.45807210031348,0.003087025024634,0.022524878864102,7.15446465517241E-05,0.000154670819353,Medium Risk
168,19084,170,0.002422342547734,0.81935736677116,2.45807210031348,0.003087025024634,0.022524878864102,7.15446465517241E-05,0.000154670819353,Medium Risk
2730,18901,176,0.002507836990596,0.848275862068966,2.5448275862069,0.003195978849033,0.023319874588717,7.40697517241379E-05,0.000160129789448,Medium Risk
6090,18661,177,0.002522086064406,0.853095611285266,2.5592868338558,0.003214137819766,0.023452373876153,7.44906025862069E-05,0.000161039617797,Medium Risk
518,19059,178,0.002536335138216,0.857915360501567,2.5737460815047,0.003232296790499,0.023584873163589,7.49114534482758E-05,0.000161949446147,Medium Risk
2688,18904,178,0.002536335138216,0.857915360501567,2.5737460815047,0.003232296790499,0.023584873163589,7.49114534482758E-05,0.000161949446147,Medium Risk
2702,18903,178,0.002536335138216,0.857915360501567,2.5737460815047,0.003232296790499,0.023584873163589,7.49114534482758E-05,0.000161949446147,Medium Risk
2716,18902,178,0.002536335138216,0.857915360501567,2.5737460815047,0.003232296790499,0.023584873163589,7.49114534482758E-05,0.000161949446147,Medium Risk
42,19093,183,0.002607580507267,0.882014106583072,2.64604231974922,0.003323091644165,0.024247369600769,7.70157077586207E-05,0.000166498587892,Medium Risk
56,19092,183,0.002607580507267,0.882014106583072,2.64604231974922,0.003323091644165,0.024247369600769,7.70157077586207E-05,0.000166498587892,Medium Risk
70,19091,183,0.002607580507267,0.882014106583072,2.64604231974922,0.003323091644165,0.024247369600769,7.70157077586207E-05,0.000166498587892,Medium Risk
2968,18884,184,0.002621829581077,0.886833855799373,2.66050156739812,0.003341250614898,0.024379868888204,7.74365586206897E-05,0.000167408416241,Medium Risk
6538,18629,184,0.002621829581077,0.886833855799373,2.66050156739812,0.003341250614898,0.024379868888204,7.74365586206897E-05,0.000167408416241,Medium Risk
2744,18900,185,0.002636078654887,0.891653605015674,2.67496081504702,0.003359409585631,0.02451236817564,7.78574094827586E-05,0.000168318244591,Medium Risk
6888,18604,185,0.002636078654887,0.891653605015674,2.67496081504702,0.003359409585631,0.02451236817564,7.78574094827586E-05,0.000168318244591,Medium Risk
2954,18885,187,0.002664576802508,0.901293103448276,2.70387931034483,0.003395727527097,0.024777366750512,7.86991112068966E-05,0.000170137901289,Medium Risk
6104,18660,187,0.002664576802508,0.901293103448276,2.70387931034483,0.003395727527097,0.024777366750512,7.86991112068966E-05,0.000170137901289,Medium Risk
6482,18633,188,0.002678825876318,0.906112852664577,2.71833855799373,0.00341388649783,0.024909866037948,7.91199620689655E-05,0.000171047729638,Medium Risk
2058,18949,189,0.002693074950128,0.910932601880878,2.73279780564263,0.003432045468563,0.025042365325384,7.95408129310345E-05,0.000171957557987,Medium Risk
6132,18658,189,0.002693074950128,0.910932601880878,2.73279780564263,0.003432045468563,0.025042365325384,7.95408129310345E-05,0.000171957557987,Medium Risk
6510,18631,189,0.002693074950128,0.910932601880878,2.73279780564263,0.003432045468563,0.025042365325384,7.95408129310345E-05,0.000171957557987,Medium Risk
28,19094,191,0.002721573097749,0.92057210031348,2.76171630094044,0.00346836341003,0.025307363900256,8.03825146551724E-05,0.000173777214685,Medium Risk
6118,18659,191,0.002721573097749,0.92057210031348,2.76171630094044,0.00346836341003,0.025307363900256,8.03825146551724E-05,0.000173777214685,Medium Risk
6496,18632,194,0.002764320319179,0.935031347962382,2.80509404388715,0.003522840322229,0.025704861762563,8.16450672413793E-05,0.000176506699733,Medium Risk
14,19095,195,0.002778569392989,0.939851097178683,2.81955329153605,0.003540999292962,0.025837361049999,8.20659181034483E-05,0.000177416528082,Medium Risk
588,19054,197,0.00280706754061,0.949490595611285,2.84847178683386,0.003577317234429,0.026102359624871,8.29076198275862E-05,0.00017923618478,Medium Risk
6524,18630,198,0.00282131661442,0.954310344827586,2.86293103448276,0.003595476205162,0.026234858912307,8.33284706896552E-05,0.000180146013129,Medium Risk
6874,18605,199,0.00283556568823,0.959130094043887,2.87739028213166,0.003613635175895,0.026367358199743,8.37493215517241E-05,0.000181055841478,Medium Risk
602,19053,200,0.00284981476204,0.963949843260188,2.89184952978056,0.003631794146628,0.026499857487179,8.41701724137931E-05,0.000181965669828,Medium Risk
6454,18635,203,0.002892561983471,0.978409090909091,2.93522727272727,0.003686271058827,0.026897355349486,8.5432725E-05,0.000184695154875,Medium Risk
6468,18634,203,0.002892561983471,0.978409090909091,2.93522727272727,0.003686271058827,0.026897355349486,8.5432725E-05,0.000184695154875,Medium Risk
6552,18628,203,0.002892561983471,0.978409090909091,2.93522727272727,0.003686271058827,0.026897355349486,8.5432725E-05,0.000184695154875,Medium Risk
2044,18950,204,0.002906811057281,0.983228840125392,2.94968652037618,0.003704430029561,0.027029854636922,8.5853575862069E-05,0.000185604983224,Medium Risk
2002,18953,206,0.002935309204902,0.992868338557994,2.97860501567398,0.003740747971027,0.027294853211794,8.66952775862069E-05,0.000187424639922,Medium Risk
2016,18952,206,0.002935309204902,0.992868338557994,2.97860501567398,0.003740747971027,0.027294853211794,8.66952775862069E-05,0.000187424639922,Medium Risk
2030,18951,206,0.002935309204902,0.992868338557994,2.97860501567398,0.003740747971027,0.027294853211794,8.66952775862069E-05,0.000187424639922,Medium Risk
2940,18886,206,0.002935309204902,0.992868338557994,2.97860501567398,0.003740747971027,0.027294853211794,8.66952775862069E-05,0.000187424639922,Medium Risk
6146,18657,206,0.002935309204902,0.992868338557994,2.97860501567398,0.003740747971027,0.027294853211794,8.66952775862069E-05,0.000187424639922,Medium Risk
6174,18655,209,0.002978056426332,1.0073275862069,3.02198275862069,0.003795224883226,0.027692351074102,8.79578301724138E-05,0.00019015412497,High Risk
2758,18899,210,0.002992305500142,1.0121473354232,3.03644200626959,0.003813383853959,0.027824850361538,8.83786810344828E-05,0.000191063953319,High Risk
2926,18887,210,0.002992305500142,1.0121473354232,3.03644200626959,0.003813383853959,0.027824850361538,8.83786810344828E-05,0.000191063953319,High Risk
2772,18898,211,0.003006554573953,1.0169670846395,3.0509012539185,0.003831542824693,0.027957349648974,8.87995318965517E-05,0.000191973781668,High Risk
6160,18656,216,0.003077799943004,1.041065830721,3.12319749216301,0.003922337678358,0.028619846086153,9.09037862068965E-05,0.000196522923414,High Risk
2884,18890,218,0.003106298090624,1.05070532915361,3.15211598746082,0.003958655619825,0.028884844661025,9.17454879310345E-05,0.000198342580112,High Risk
2898,18889,218,0.003106298090624,1.05070532915361,3.15211598746082,0.003958655619825,0.028884844661025,9.17454879310345E-05,0.000198342580112,High Risk
2912,18888,218,0.003106298090624,1.05070532915361,3.15211598746082,0.003958655619825,0.028884844661025,9.17454879310345E-05,0.000198342580112,High Risk
6188,18654,219,0.003120547164434,1.05552507836991,3.16657523510972,0.003976814590558,0.029017343948461,9.21663387931034E-05,0.000199252408461,High Risk
616,19052,220,0.003134796238245,1.06034482758621,3.18103448275862,0.003994973561291,0.029149843235897,9.25871896551724E-05,0.00020016223681,High Risk
6580,18626,220,0.003134796238245,1.06034482758621,3.18103448275862,0.003994973561291,0.029149843235897,9.25871896551724E-05,0.00020016223681,High Risk
2786,18897,223,0.003177543459675,1.07480407523511,3.22441222570533,0.00404945047349,0.029547341098204,9.38497422413793E-05,0.000202891721858,High Risk
2800,18896,223,0.003177543459675,1.07480407523511,3.22441222570533,0.00404945047349,0.029547341098204,9.38497422413793E-05,0.000202891721858,High Risk
2814,18895,223,0.003177543459675,1.07480407523511,3.22441222570533,0.00404945047349,0.029547341098204,9.38497422413793E-05,0.000202891721858,High Risk
